x,y,u,a
35,5,560,13
35,8,560,10
35,11,560,7
35,14,560,4
35,17,560,1
35,20,560,28
35,23,560,25
35,26,560,22
35,29,560,19
35,32,560,16
35,35,560,43
35,38,560,40
35,41,560,37
35,44,560,34
35,47,560,31
35,50,560,58
35,53,560,55
35,56,560,52
35,59,560,49
35,62,560,46
35,65,560,73
35,68,560,70
35,71,560,67
35,74,560,64
35,77,560,61
35,80,560,88
35,83,560,85
35,86,560,82
35,89,560,79
35,92,560,76
55,20,562,13
55,23,562,10
55,26,562,7
55,29,562,4
55,32,562,1
55,35,562,28
55,38,562,25
55,41,562,22
55,44,562,19
55,47,562,16
55,50,562,43
55,53,562,40
55,56,562,37
55,59,562,34
55,62,562,31
55,65,562,58
55,68,562,55
55,71,562,52
55,74,562,49
55,77,562,46
55,80,562,73
55,83,562,70
55,86,562,67
55,89,562,64
55,92,562,61
75,55,561,1
75,58,561,4
75,61,561,7
75,64,561,10
75,67,561,13
75,70,561,16
75,73,561,19
75,76,561,22
75,79,561,25
75,82,561,28
75,85,561,31
75,88,561,34
75,91,561,37
75,94,561,40
75,97,561,43
75,100,561,46
75,103,561,49
75,106,561,52
75,109,561,55
75,112,561,58
95,15,563,13
95,18,563,10
95,21,563,7
95,24,563,4
95,27,563,1
95,30,563,28
95,33,563,25
95,36,563,22
95,39,563,19
95,42,563,16
95,45,563,43
95,48,563,40
95,51,563,37
95,54,563,34
95,57,563,31
95,60,563,58
95,63,563,55
95,66,563,52
95,69,563,49
95,72,563,46
95,75,563,73
95,78,563,70
95,81,563,67
95,84,563,64
95,87,563,61
95,90,563,88
95,93,563,85
95,96,563,82
95,99,563,79
95,102,563,76
115,10,564,13
115,13,564,10
115,16,564,7
115,19,564,4
115,22,564,1
115,25,564,28
115,28,564,25
115,31,564,22
115,34,564,19
115,37,564,16
115,40,564,43
115,43,564,40
115,46,564,37
115,49,564,34
115,52,564,31
115,55,564,58
115,58,564,55
115,61,564,52
115,64,564,49
115,67,564,46
115,70,564,73
115,73,564,70
115,76,564,67
115,79,564,64
115,82,564,61
115,85,564,88
115,88,564,85
115,91,564,82
115,94,564,79
115,97,564,76
135,10,565,13
135,13,565,10
135,16,565,7
135,19,565,4
135,22,565,1
135,25,565,28
135,28,565,25
135,31,565,22
135,34,565,19
135,37,565,16
135,40,565,43
135,43,565,40
135,46,565,37
135,49,565,34
135,52,565,31
135,55,565,58
135,58,565,55
135,61,565,52
135,64,565,49
135,67,565,46
135,70,565,73
135,73,565,70
135,76,565,67
135,79,565,64
135,82,565,61
135,85,565,88
135,88,565,85
135,91,565,82
135,94,565,79
135,97,565,76
155,12,566,13
155,15,566,10
155,18,566,7
155,21,566,4
155,24,566,1
155,27,566,28
155,30,566,25
155,33,566,22
155,36,566,19
155,39,566,16
155,42,566,43
155,45,566,40
155,48,566,37
155,51,566,34
155,54,566,31
155,57,566,58
155,60,566,55
155,63,566,52
155,66,566,49
155,69,566,46
155,72,566,73
155,75,566,70
155,78,566,67
155,81,566,64
155,84,566,61
175,50,567,1
175,53,567,4
175,56,567,7
175,59,567,10
175,62,567,13
175,65,567,16
175,68,567,19
175,71,567,22
175,74,567,25
175,77,567,28
175,80,567,31
175,83,567,34
175,86,567,37
175,89,567,40
175,92,567,43
195,17,568,13
195,20,568,10
195,23,568,7
195,26,568,4
195,29,568,1
195,32,568,28
195,35,568,25
195,38,568,22
195,41,568,19
195,44,568,16
195,47,568,43
195,50,568,40
195,53,568,37
195,56,568,34
195,59,568,31
195,62,568,58
195,65,568,55
195,68,568,52
195,71,568,49
195,74,568,46
195,77,568,73
195,80,568,70
195,83,568,67
195,86,568,64
195,89,568,61
215,10,569,13
215,13,569,10
215,16,569,7
215,19,569,4
215,22,569,1
215,25,569,28
215,28,569,25
215,31,569,22
215,34,569,19
215,37,569,16
215,40,569,43
215,43,569,40
215,46,569,37
215,49,569,34
215,52,569,31
215,55,569,58
215,58,569,55
215,61,569,52
215,64,569,49
215,67,569,46
215,70,569,73
215,73,569,70
215,76,569,67
215,79,569,64
215,82,569,61
215,85,569,88
215,88,569,85
215,91,569,82
215,94,569,79
215,97,569,76
