x,y,u,a
37,0,580,1
38,0,580,5
39,0,580,9
40,0,580,13
41,0,580,17
42,0,580,21
43,0,580,25
44,0,580,29
45,0,580,33
46,0,580,37
47,0,580,41
48,0,580,45
49,0,580,49
50,0,580,53
51,0,580,57
52,0,580,61
53,0,580,65
54,0,580,69
55,0,580,73
56,0,580,77
57,0,580,81
58,0,580,85
59,0,580,89
60,0,580,93
61,0,580,97
62,0,580,101
63,0,580,105
64,0,580,109
65,0,580,113
66,0,580,117
67,0,580,121
68,0,580,125
69,0,580,129
70,0,580,133
71,0,580,137
72,0,580,141
73,0,580,145
74,0,580,149
75,0,580,153
76,0,580,157
77,0,580,161
78,0,580,165
79,0,580,169
80,0,580,173
81,0,580,177
82,0,580,181
83,0,580,185
84,0,580,189
85,0,580,193
86,0,580,197
87,0,580,201
88,0,580,205
89,0,580,209
90,0,580,213
91,0,580,217
92,0,580,221
93,0,580,225
94,0,580,229
95,0,580,233
96,0,580,237
97,0,580,241
98,0,580,245
99,0,580,249
100,0,580,253
101,0,580,257
102,0,580,261
103,0,580,265
104,0,580,269
105,0,580,273
106,0,580,277
107,0,580,281
108,0,580,285
109,0,580,289
110,0,580,293
111,0,580,297
112,0,580,301
113,0,580,305
114,0,580,309
115,0,580,313
116,0,580,317
117,0,580,321
118,0,580,325
119,0,580,329
120,0,580,333
121,0,580,337
122,0,580,341
123,0,580,345
124,0,580,349
125,0,580,353
126,0,580,357
127,0,580,361
128,0,580,365
129,0,580,369
130,0,580,373
131,0,580,377
132,0,580,381
133,0,580,385
134,0,580,389
135,0,580,393
136,0,580,397
137,0,580,401
138,0,580,405
139,0,580,409
140,0,580,413
141,0,580,417
142,0,580,421
143,0,580,425
144,0,580,429
145,0,580,433
146,0,580,437
147,0,580,441
148,0,580,445
149,0,580,449
150,0,580,453
151,0,580,457
152,0,580,461
153,0,580,465
154,0,580,469
155,0,580,473
156,0,580,477
157,0,580,481
158,0,580,485
159,0,580,489
160,0,580,493
161,0,580,497
162,0,580,501
163,0,580,505
164,0,580,509
165,0,581,1
166,0,581,5
167,0,581,9
168,0,581,13
169,0,581,17
170,0,581,21
171,0,581,25
172,0,581,29
173,0,581,33
174,0,581,37
175,0,581,41
176,0,581,45
177,0,581,49
178,0,581,53
179,0,581,57
180,0,581,61
181,0,581,65
182,0,581,69
183,0,581,73
184,0,581,77
185,0,581,81
186,0,581,85
187,0,581,89
188,0,581,93
189,0,581,97
190,0,581,101
191,0,581,105
192,0,581,109
193,0,581,113
194,0,581,117
195,0,581,121
196,0,581,125
197,0,581,129
198,0,581,133
199,0,581,137
200,0,581,141
201,0,581,145
202,0,581,149
203,0,581,153
204,0,581,157
205,0,581,161
206,0,581,165
207,0,581,169
208,0,581,173
209,0,581,177
210,0,581,181
211,0,581,185
212,0,581,189
50,55,582,1
51,55,582,5
52,55,582,9
53,55,582,13
54,55,582,17
55,55,582,21
56,55,582,25
57,55,582,29
58,55,582,33
59,55,582,37
60,55,582,41
61,55,582,45
62,55,582,49
63,55,582,53
64,55,582,57
65,55,582,61
66,55,582,65
67,55,582,69
68,55,582,73
69,55,582,77
70,55,582,81
71,55,582,85
72,55,582,89
73,55,582,93
74,55,582,97
75,55,582,101
76,55,582,105
77,55,582,109
78,55,582,113
79,55,582,117
80,55,582,121
81,55,582,125
82,55,582,129
83,55,582,133
84,55,582,137
85,55,582,141
86,55,582,145
87,55,582,149
88,55,582,153
89,55,582,157
90,55,582,161
91,55,582,165
92,55,582,169
93,55,582,173
94,55,582,177
95,55,582,181
96,55,582,185
97,55,582,189
98,55,582,193
99,55,582,197
100,55,582,201
101,55,582,205
102,55,582,209
103,55,582,213
104,55,582,217
105,55,582,221
106,55,582,225
107,55,582,229
108,55,582,233
109,55,582,237
110,55,582,241
111,55,582,245
112,55,582,249
113,55,582,253
114,55,582,257
115,55,582,261
116,55,582,265
117,55,582,269
118,55,582,273
119,55,582,277
120,55,582,281
121,55,582,285
122,55,582,289
123,55,582,293
124,55,582,297
125,55,582,301
126,55,582,305
127,55,582,309
128,55,582,313
129,55,582,317
130,55,582,321
131,55,582,325
132,55,582,329
133,55,582,333
134,55,582,337
135,55,582,341
136,55,582,345
137,55,582,349
138,55,582,353
139,55,582,357
140,55,582,361
141,55,582,365
142,55,582,369
143,55,582,373
144,55,582,377
145,55,582,381
146,55,582,385
147,55,582,389
148,55,582,393
149,55,582,397
150,55,582,401
151,55,582,405
152,55,582,409
153,55,582,413
154,55,582,417
155,55,582,421
156,55,582,425
157,55,582,429
158,55,582,433
159,55,582,437
160,55,582,441
161,55,582,445
162,55,582,449
163,55,582,453
164,55,582,457
165,55,582,461
166,55,582,465
167,55,582,469
168,55,582,473
169,55,582,477
170,55,582,481
171,55,582,485
172,55,582,489
173,55,582,493
174,55,582,497
175,55,582,501
176,55,582,505
177,55,583,1
178,55,583,5
179,55,583,9
180,55,583,13
181,55,583,17
182,55,583,21
183,55,583,25
184,55,583,29
185,55,583,33
186,55,583,37
187,55,583,41
188,55,583,45
189,55,583,49
190,55,583,53
191,55,583,57
192,55,583,61
193,55,583,65
194,55,583,69
195,55,583,73
196,55,583,77
197,55,583,81
198,55,583,85
199,55,583,89
200,55,583,93
201,55,583,97
15,120,584,1
16,120,584,5
17,120,584,9
18,120,584,13
19,120,584,17
20,120,584,21
21,120,584,25
22,120,584,29
23,120,584,33
24,120,584,37
25,120,584,41
26,120,584,45
27,120,584,49
28,120,584,53
29,120,584,57
30,120,584,61
31,120,584,65
32,120,584,69
33,120,584,73
34,120,584,77
35,120,584,81
36,120,584,85
37,120,584,89
38,120,584,93
39,120,584,97
40,120,584,101
41,120,584,105
42,120,584,109
43,120,584,113
44,120,584,117
45,120,584,121
